task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,minimax/MiniMax-M2.7,,false,28.8,failed,,,,,,,,,0,0,0,70,0.25,0.0,build=P;xcodeproj=F;xctest=F,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 of 1 project assertion(s) failed: Info.plist key NSSupportsLiveActivities is not set | xctest:3 executed, 2 passed, 1 failed, 0 skipped. Failing: DeliveryActivityTests/testStartingIsRefusedWhenLiveActivitiesAreOff()",2026-09-03T224922-activitykit-001-opencode
appintents-001,frameworks,2,opencode,minimax/MiniMax-M2.7,,false,15.7,failed,,,,,,,,,0,0,0,20,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 0 passed, 1 failed, 0 skipped. Failing: LogStatusIntentTests/testPerformRecordsTheStatus()",2026-09-03T220903-appintents-001-opencode
appintents-002,frameworks,5,opencode,minimax/MiniMax-M2.7,,false,16.5,failed,,,,,,,,,0,0,0,50,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 1 passed, 2 failed, 0 skipped. Failing: ShopEntityTests/testAStoredChoiceCanBeResolvedLater(), ShopEntityTests/testTheSameShopKeepsTheSameIdentifier()",2026-09-03T224952-appintents-002-opencode
appintents-003,frameworks,5,opencode,minimax/MiniMax-M2.7,,false,15.6,failed,,,,,,,,,0,0,0,50,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 1 passed, 3 failed, 0 skipped. Failing: TimerQueryTests/testResolvingOneChoiceReturnsOnlyThatChoice(), TimerQueryTests/testResolvingSomethingUnknownReturnsNothing(), TimerQueryTests/testResolvingTwoChoicesReturnsBoth()",2026-09-03T225009-appintents-003-opencode
appintents-004,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,15.1,failed,,,,,,,,,0,0,0,60,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 0 passed, 2 failed, 0 skipped. Failing: LogStatusIntentTests/testTheStatusIsRecordedBeforeTheIntentReportsSuccess(), LogStatusIntentTests/testTwoRunsAreBothRecordedInOrder()",2026-09-03T225025-appintents-004-opencode
bg-001,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,15.2,failed,,,,,,,,,0,0,0,60,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 3 passed, 1 failed, 0 skipped. Failing: RefreshPolicyTests/testRunningARefreshSchedulesTheNextOne()",2026-09-03T225041-bg-001-opencode
bg-002,frameworks,6,opencode,minimax/MiniMax-M2.7,,false,15.2,failed,,,,,,,,,0,0,0,60,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Bg002Fixture' | xctest:3 executed, 2 passed, 1 failed, 0 skipped. Failing: BackgroundDownloaderTests/testTheSessionIdentifierSurvivesRelaunch()",2026-09-03T225056-bg-002-opencode
build-002,build,2,opencode,minimax/MiniMax-M3,,true,45.2,completed,9311,1926,,,9311,11237,0.0092,0.0051,1,8,2,20,1.00,20.0,build=P;xcodeproj=P,build:xcodebuild build succeeded for scheme 'AvailabilityFixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration,2026-09-01T154320-build-002-opencode
build-005,build,5,opencode,minimax/MiniMax-M2.7,,false,6.8,failed,,,,,,,,,0,0,0,50,0.25,0.0,build=F;file=P,build:xcodebuild build failed (exit 65) for scheme 'LinkErrorFixture' | file:1 file assertion(s) satisfied,2026-09-03T220919-build-005-opencode
concurrency-001,frameworks,5,opencode,minimax/MiniMax-M2.7,,false,15.3,failed,,,,,,,,,0,0,0,50,0.25,0.0,build=P;xctest=F,"build:xcodebuild build succeeded for scheme 'Concurrency001Fixture' | xctest:2 executed, 1 passed, 1 failed, 0 skipped. Failing: CounterTests/testConcurrentIncrementsAreExact()",2026-09-03T225112-concurrency-001-opencode
