task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,efficiency,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,openai/gpt-5.6-terra,max,true,770.8,completed,145139,10159,1934848,0,2079987,169978,0.0000,0.7992,6,289,15,10,0.88,8.8,build=P;xcodeproj=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-11T194154-activitykit-001-opencode
build-005,build,5,opencode,openai/gpt-5.6-terra,max,true,143.9,completed,41395,2302,286720,0,328115,45235,0.0000,0.1678,1,1,2,10,1.00,10.0,build=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture',2026-09-11T100615-build-005-opencode
healthkit-001,frameworks,6,opencode,openai/gpt-5.6-terra,max,false,236.3,completed,42436,1946,164864,0,207300,48576,0.0000,0.1412,2,5,1,10,1.00,0.0,build=P;xcodeproj=F;xctest=P,"build:xcodebuild build succeeded for scheme 'Healthkit001Fixture' | xcodeproj:1 of 2 project assertion(s) failed: Info.plist key NSHealthUpdateUsageDescription is not set | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-12T042041-healthkit-001-opencode
interaction-001,interaction,1,opencode,openai/gpt-5.6-terra,max,true,387.5,completed,37298,1792,158208,0,195506,40083,0.0000,0.1277,2,2,2,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'CartFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/CartView.swift: "".accessibilityIdentifier(""cart-item-\(index)"")"" → "".accessibilityIdentifier(""cart-item-\(index)-mutated"")"")",2026-09-11T104351-interaction-001-opencode
interaction-002,interaction,2,opencode,openai/gpt-5.6-terra,max,true,403.9,completed,41217,1708,110592,0,151809,43787,0.0000,0.1250,1,1,1,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: "".accessibilityIdentifier(""result-\(index)"")"" → "".accessibilityIdentifier(""result-\(index)-mutated"")"")",2026-09-11T105022-interaction-002-opencode
interaction-003,interaction,3,opencode,openai/gpt-5.6-terra,max,true,390.1,completed,44297,1781,191488,0,235785,47225,0.0000,0.1483,1,1,0,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportView.swift: "".accessibilityIdentifier(""row-\(index)"")"" → "".accessibilityIdentifier(""row-\(index)-mutated"")"")",2026-09-11T105711-interaction-003-opencode
interaction-004,interaction,4,opencode,openai/gpt-5.6-terra,max,true,514.0,completed,30134,1742,104960,0,135094,32981,0.0000,0.1022,1,6,12,10,1.00,10.0,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: "".accessibilityIdentifier(""full-name"")"" → "".accessibilityIdentifier(""full-name-mutated"")"")",2026-09-11T110345-interaction-004-opencode
interaction-005,interaction,5,opencode,openai/gpt-5.6-terra,max,true,735.7,completed,161168,12026,2038656,0,2199824,186893,0.0000,0.8744,1,8,0,10,0.88,8.8,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (25 command(s)) | build:xcodebuild build succeeded for scheme 'GestureFixture' | file:8 file assertion(s) satisfied,2026-09-11T111224-interaction-005-opencode
ops-001,ops,1,opencode,openai/gpt-5.6-terra,max,true,103.1,completed,35335,1874,162816,0,198151,38471,0.0000,0.1257,1,24,0,10,1.00,10.0,trajectory=P;build=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)) | build:xcodebuild build succeeded for scheme 'ConcurrencyFixture' | file:1 file assertion(s) satisfied,2026-09-11T112440-ops-001-opencode
ops-002,ops,2,opencode,openai/gpt-5.6-terra,max,true,144.9,completed,34967,2269,199680,0,234647,39268,0.0000,0.1371,1,8,0,10,1.00,10.0,trajectory=P;file=P,trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s)) | file:4 file assertion(s) satisfied,2026-09-11T112624-ops-002-opencode
