task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
activitykit-001,frameworks,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,290.1,completed,84307,2001,115520,0,199827,92364,0.0134,0.0086,2,7,1,133,133,build=P;xcodeproj=P;xctest=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Activitykit001Fixture' | xcodeproj:1 project assertion(s) hold in the resolved configuration | xctest:3 executed, 3 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-16T041750-activitykit-001-opencode
appintents-001,frameworks,2,opencode,openrouter/z-ai/glm-5.3-flash,max,true,98.0,completed,16706,490,37248,0,53954,17725,0.0021,0.0019,1,1,0,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'AppIntentFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-07T193123-appintents-001-opencode
appintents-002,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,118.1,completed,45063,1018,16896,0,61959,47508,0.0057,0.0039,1,17,3,114,114,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Appintents002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (5 command(s))",2026-09-16T042242-appintents-002-opencode
appintents-003,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,65.7,completed,15071,416,22848,0,37919,15625,0.0016,0.0016,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents003Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-07T205558-appintents-003-opencode
appintents-004,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,123.1,completed,43386,674,14720,0,58106,44587,0.0038,0.0036,1,1,4,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Appintents004Fixture' | xctest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-07T211208-appintents-004-opencode
bg-001,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,288.3,completed,19715,712,25280,0,44995,21234,0.0022,0.0020,1,3,1,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Bg001Fixture' | xctest:4 executed, 4 passed, 0 failed, 0 skipped",2026-09-07T211412-bg-001-opencode
bg-002,frameworks,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,73.5,completed,38451,466,7552,0,46003,38971,0.0042,0.0031,1,1,1,133,133,build=P;xctest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'Bg002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (3 command(s))",2026-09-16T042441-bg-002-opencode
build-005,build,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,136.0,completed,20185,992,86208,0,106393,21777,0.0032,0.0031,1,1,2,100,100,build=P,build:xcodebuild build succeeded for scheme 'LinkErrorFixture',2026-09-09T090026-build-005-opencode
composition-001,composition,9,opencode,openrouter/z-ai/glm-5.3-flash,max,false,1119.2,completed,362565,15133,1036736,0,1399301,395883,0.0681,0.0465,6,294,18,800,,build=P;xctest=P;xcuitest=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'FieldInspectionFixture' | xctest:8 executed, 8 passed, 0 failed, 0 skipped | xcuitest:4 executed, 2 passed, 2 failed, 0 skipped. Failing: InspectionFlowTests/testCanDeleteAnInspectionFromItsDetailScreen(), InspectionFlowTests/testCompletedInspectionImportsSampleEvidenceAndExportsReport() | trajectory:The agent's recorded commands show the work behind the deliverable (21 command(s), including tuist, xcodegen)",2026-09-16T042555-composition-001-opencode
composition-002,composition,9,opencode,openrouter/z-ai/glm-5.3-flash,max,false,814.3,completed,278403,11921,594688,0,873091,303639,0.0481,0.0328,5,389,31,2000,,build=P;xctest=F;xcuitest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'ExpenseLedgerFixture' | xctest:7 executed, 5 passed, 2 failed, 0 skipped. Failing: ExpenseLedgerJourneysTests/testEditorRejectsFractionalCentsWithoutChangingSavedRecords(), ExpenseLedgerJourneysTests/testMalformedCSVAndInvalidEuroValuesCannotEnterTheLedger() | xcuitest:5 executed, 5 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s))",2026-09-16T044439-composition-002-opencode
